"Código produto";"EAN";"Código loja";"Código pedido";"Nome produto";"Preço venda";"Quantidade";"Referência";"Preço custo";"Informação adicional"
"1375";"";"987162";"55069";"Legging Empina Bumbum Wave Cós Franzir Shape Vermelha (Disponibilidade: Imediata)<br />";"128,69";"1";"";"0,00";""
"541";"";"987162";"55069";"Conjunto Empina Bumbum Wave Preto Alcinha (Disponibilidade: Imediata)<br />";"209,99";"1";"";"0,00";""
"1341";"";"987162";"55075";"Macacão Empina Bumbum Wave Azul Turquesa (Imediata)";"199,99";"1";"";"0,00";""
"1389";"";"987162";"55075";"Macacão Empina Bumbum Wave Chumbo (Imediata)";"199,99";"1";"";"0,00";""
"541";"";"987162";"55075";"Conjunto Empina Bumbum Wave Preto Alcinha (Imediata)";"209,99";"1";"";"0,00";""
"643";"";"987162";"55075";"Macacão Empina Bumbum Wave Branco (Imediata)";"199,99";"1";"";"0,00";""
"655";"";"987162";"55075";"Conjunto  Empina Bumbum Wave Azul Turquesa Alcinha (Imediata)";"209,99";"1";"";"0,00";""
"803";"";"987162";"55075";"Macacão Empina Bumbum Wave Preto (Imediata)";"199,99";"2";"";"0,00";""
"1015";"";"987162";"55077";"Legging Empina Bumbum Wave Nude (Disponibilidade: Imediata)<br />";"129,99";"1";"";"0,00";""
"1147";"";"987162";"55077";"Macacão Empina Bumbum Wave Azul Marinho (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
"281";"";"987162";"55077";"Legging Empina Bumbum Wave Preta (Disponibilidade: Disponível em 4 dias úteis)<br />";"159,99";"1";"";"0,00";""
"403";"";"987162";"55077";"Legging Empina Bumbum Wave Branca (Disponibilidade: Imediata)<br />";"159,99";"1";"";"0,00";""
"427";"";"987162";"55077";"Legging Empina Bumbum Wave Rosa Bebê (Disponibilidade: Imediata)<br />";"159,99";"1";"";"0,00";""
"1487";"";"987162";"55079";"Macacão  Empina Bumbum Wave Azul Céu (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
"1055";"";"987162";"55081";"Conjunto Empina Bumbum Wave Nude (Disponibilidade: Imediata)<br />";"181,99";"1";"";"0,00";""
"1329";"";"987162";"55081";"Conjunto Short Empina Bumbum Wave Avelã Alcinha (Disponibilidade: Imediata)<br />";"169,99";"1";"";"0,00";""
"1335";"";"987162";"55081";"Conjunto Short Empina Bumbum Wave Vermelho (Disponibilidade: Imediata)<br />";"142,99";"1";"";"0,00";""
"1375";"";"987162";"55081";"Legging Empina Bumbum Wave Cós Franzir Shape Vermelha (Disponibilidade: Imediata)<br />";"128,69";"1";"";"0,00";""
"1439";"";"987162";"55081";"Legging Empina Bumbum Wave Cappuccino (Disponibilidade: Imediata)<br />";"159,99";"1";"";"0,00";""
"1493";"";"987162";"55081";"Conjunto Short Empina Bumbum Wave Rosa Bebê (Disponibilidade: Imediata)<br />";"142,99";"1";"";"0,00";""
"429";"";"987162";"55081";"Legging Empina Bumbum Wave Verde Militar (Disponibilidade: Imediata)<br />";"159,99";"1";"";"0,00";""
"1435";"";"987162";"55087";"Conjunto Empina Bumbum Wave Açaí Alcinha (Disponibilidade: Imediata)<br />";"189,99";"1";"";"0,00";""
"591";"";"987162";"55087";"Macacão  Empina Bumbum Wave Rosa Bebê (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
"1111";"";"987162";"55095";"Macacão  Empina Bumbum Wave Rosê (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
"1065";"";"987162";"55097";"Macacão Empina Bumbum Wave  Vermelho (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
"1111";"";"987162";"55097";"Macacão  Empina Bumbum Wave Rosê (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
"1341";"";"987162";"55097";"Macacão Empina Bumbum Wave Azul Turquesa (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
"591";"";"987162";"55097";"Macacão  Empina Bumbum Wave Rosa Bebê (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
"643";"";"987162";"55097";"Macacão Empina Bumbum Wave Branco (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
"803";"";"987162";"55097";"Macacão Empina Bumbum Wave Preto (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
"1461";"";"987162";"55099";"Macacão Empina Bumbum Wave Laranja (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
"281";"";"987162";"55107";"Legging Empina Bumbum Wave Preta (Disponível em 4 dias úteis)";"1,00";"1";"";"0,00";""
"643";"";"987162";"55107";"Macacão Empina Bumbum Wave Branco (Imediata)";"1,00";"1";"";"0,00";""
"1317";"";"987162";"55111";"Legging Empina Bumbum Wave Verde Lime (Disponibilidade: Imediata)<br />";"159,99";"1";"";"0,00";""
"1457";"";"987162";"55111";"Legging Empina Bumbum Wave Laranja (Disponibilidade: Imediata)<br />";"159,99";"1";"";"0,00";""
"1477";"";"987162";"55111";"Legging Empina Bumbum Wave Cós Franzir Shape Azul Céu (Disponibilidade: Imediata)<br />";"159,99";"1";"";"0,00";""
"1497";"";"987162";"55111";"Legging Empina Bumbum Wave Cós Franzir Shape Lilás (Disponibilidade: Imediata)<br />";"159,99";"1";"";"0,00";""
"427";"";"987162";"55111";"Legging Empina Bumbum Wave Rosa Bebê (Disponibilidade: Imediata)<br />";"159,99";"1";"";"0,00";""
"1147";"";"987162";"55113";"Macacão Empina Bumbum Wave Azul Marinho (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
"1305";"";"987162";"55115";"Macacão  Empina Bumbum Wave Lilás (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
"1065";"";"987162";"55119";"Macacão Empina Bumbum Wave  Vermelho (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
"1429";"";"987162";"55119";"Macacão Empina Bumbum Wave Açaí (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
"1461";"";"987162";"55119";"Macacão Empina Bumbum Wave Laranja (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
"281";"";"987162";"55119";"Legging Empina Bumbum Wave Preta (Disponibilidade: Disponível em 4 dias úteis)<br />";"159,99";"1";"";"0,00";""
"403";"";"987162";"55119";"Legging Empina Bumbum Wave Branca (Disponibilidade: Imediata)<br />";"159,99";"1";"";"0,00";""
"427";"";"987162";"55119";"Legging Empina Bumbum Wave Rosa Bebê (Disponibilidade: Imediata)<br />";"159,99";"1";"";"0,00";""
"441";"";"987162";"55119";"Conjunto Empina Bumbum Wave Rosa Bebê Alcinha (Disponibilidade: Imediata)<br />";"209,99";"1";"";"0,00";""
"541";"";"987162";"55119";"Conjunto Empina Bumbum Wave Preto Alcinha (Disponibilidade: Imediata)<br />";"209,99";"1";"";"0,00";""
"591";"";"987162";"55119";"Macacão  Empina Bumbum Wave Rosa Bebê (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
"643";"";"987162";"55119";"Macacão Empina Bumbum Wave Branco (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
"765";"";"987162";"55119";"Legging Empina Bumbum Wave Lilás (Disponibilidade: Imediata)<br />";"159,99";"1";"";"0,00";""
"803";"";"987162";"55119";"Macacão Empina Bumbum Wave Preto (Disponibilidade: Imediata)<br />";"199,99";"1";"";"0,00";""
